icd_code,icd_version,long_title,dx_hemodialysis,dx_peritoneal_dialysis,dx_unspecified_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
41070,9,"Subendocardial infarction, episode of care unspecified",0,0,0,0,0,1,0
41090,9,"Acute myocardial infarction of unspecified site, episode of care unspecified",0,0,0,0,0,1,0
I214,10,Non-ST elevation (NSTEMI) myocardial infarction,0,0,0,0,0,1,0
I5031,10,Acute diastolic (congestive) heart failure,0,0,0,0,1,0,0
I2109,10,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,0,0,0,0,0,1,0
I2119,10,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,0,0,0,0,0,1,0
I222,10,Subsequent non-ST elevation (NSTEMI) myocardial infarction,0,0,0,0,0,1,0
I2111,10,ST elevation (STEMI) myocardial infarction involving right coronary artery,0,0,0,0,0,1,0
I6329,10,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries,0,0,0,0,0,0,1
I213,10,ST elevation (STEMI) myocardial infarction of unspecified site,0,0,0,0,0,1,0
I2101,10,ST elevation (STEMI) myocardial infarction involving left main coronary artery,0,0,0,0,0,1,0
I63131,10,Cerebral infarction due to embolism of right carotid artery,0,0,0,0,0,0,1
I63419,10,Cerebral infarction due to embolism of unspecified middle cerebral artery,0,0,0,0,0,0,1
I63132,10,Cerebral infarction due to embolism of left carotid artery,0,0,0,0,0,0,1
I63432,10,Cerebral infarction due to embolism of left posterior cerebral artery,0,0,0,0,0,0,1
I63542,10,Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery,0,0,0,0,0,0,1
I63233,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries,0,0,0,0,0,0,1
I6389,10,Other cerebral infarction,0,0,0,0,0,0,1
I2102,10,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,0,0,0,0,0,1,0
I6302,10,Cerebral infarction due to thrombosis of basilar artery,0,0,0,0,0,0,1
I63312,10,Cerebral infarction due to thrombosis of left middle cerebral artery,0,0,0,0,0,0,1
I6322,10,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery,0,0,0,0,0,0,1
I63231,10,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries,0,0,0,0,0,0,1
T85621A,10,"Displacement of intraperitoneal dialysis catheter, initial encounter",0,1,0,0,0,0,0
I63413,10,Cerebral infarction due to embolism of bilateral middle cerebral arteries,0,0,0,0,0,0,1
I63031,10,Cerebral infarction due to thrombosis of right carotid artery,0,0,0,0,0,0,1
I5042,10,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,0,0,0,0,1,0,0
I63443,10,Cerebral infarction due to embolism of bilateral cerebellar arteries,0,0,0,0,0,0,1
I6312,10,Cerebral infarction due to embolism of basilar artery,0,0,0,0,0,0,1
I63512,10,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery,0,0,0,0,0,0,1
I63211,10,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery,0,0,0,0,0,0,1
T85611A,10,"Breakdown (mechanical) of intraperitoneal dialysis catheter, initial encounter",0,1,0,0,0,0,0
I63441,10,Cerebral infarction due to embolism of right cerebellar artery,0,0,0,0,0,0,1
I63012,10,Cerebral infarction due to thrombosis of left vertebral artery,0,0,0,0,0,0,1
I63422,10,Cerebral infarction due to embolism of left anterior cerebral artery,0,0,0,0,0,0,1
I63541,10,Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery,0,0,0,0,0,0,1
I6319,10,Cerebral infarction due to embolism of other precerebral artery,0,0,0,0,0,0,1
T8571XA,10,"Infection and inflammatory reaction due to peritoneal dialysis catheter, initial encounter",0,1,0,0,0,0,0
I6381,10,Other cerebral infarction due to occlusion or stenosis of small artery,0,0,0,0,0,0,1
I1311,10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",0,0,0,0,1,0,0
I63521,10,Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery,0,0,0,0,0,0,1
I63442,10,Cerebral infarction due to embolism of left cerebellar artery,0,0,0,0,0,0,1
I63232,10,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries,0,0,0,0,0,0,1
I63311,10,Cerebral infarction due to thrombosis of right middle cerebral artery,0,0,0,0,0,0,1
I63112,10,Cerebral infarction due to embolism of left vertebral artery,0,0,0,0,0,0,1
I63511,10,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery,0,0,0,0,0,0,1
I63111,10,Cerebral infarction due to embolism of right vertebral artery,0,0,0,0,0,0,1
I0981,10,Rheumatic heart failure,0,0,0,0,1,0,0
I63531,10,Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery,0,0,0,0,0,0,1
I6310,10,Cerebral infarction due to embolism of unspecified precerebral artery,0,0,0,0,0,0,1
I97130,10,Postprocedural heart failure following cardiac surgery,0,0,0,0,1,0,0
I63423,10,Cerebral infarction due to embolism of bilateral anterior cerebral arteries,0,0,0,0,0,0,1
I5041,10,Acute combined systolic (congestive) and diastolic (congestive) heart failure,0,0,0,0,1,0,0
I63532,10,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery,0,0,0,0,0,0,1
I63449,10,Cerebral infarction due to embolism of unspecified cerebellar artery,0,0,0,0,0,0,1
I63213,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries,0,0,0,0,0,0,1
I6349,10,Cerebral infarction due to embolism of other cerebral artery,0,0,0,0,0,0,1
I63032,10,Cerebral infarction due to thrombosis of left carotid artery,0,0,0,0,0,0,1
I6359,10,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,0,0,0,0,0,0,1
I63113,10,Cerebral infarction due to embolism of bilateral vertebral arteries,0,0,0,0,0,0,1
I6309,10,Cerebral infarction due to thrombosis of other precerebral artery,0,0,0,0,0,0,1
I63333,10,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries,0,0,0,0,0,0,1
I63421,10,Cerebral infarction due to embolism of right anterior cerebral artery,0,0,0,0,0,0,1
I63433,10,Cerebral infarction due to embolism of bilateral posterior cerebral arteries,0,0,0,0,0,0,1
I63133,10,Cerebral infarction due to embolism of bilateral carotid arteries,0,0,0,0,0,0,1
T85691A,10,"Other mechanical complication of intraperitoneal dialysis catheter, initial encounter",0,1,0,0,0,0,0
I63522,10,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery,0,0,0,0,0,0,1
I63539,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery,0,0,0,0,0,0,1
I63513,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries,0,0,0,0,0,0,1
I228,10,Subsequent ST elevation (STEMI) myocardial infarction of other sites,0,0,0,0,0,1,0
I63341,10,Cerebral infarction due to thrombosis of right cerebellar artery,0,0,0,0,0,0,1
I63429,10,Cerebral infarction due to embolism of unspecified anterior cerebral artery,0,0,0,0,0,0,1
I63212,10,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery,0,0,0,0,0,0,1
I636,10,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",0,0,0,0,0,0,1
T85631A,10,"Leakage of intraperitoneal dialysis catheter, initial encounter",0,1,0,0,0,0,0
I63011,10,Cerebral infarction due to thrombosis of right vertebral artery,0,0,0,0,0,0,1
I6339,10,Cerebral infarction due to thrombosis of other cerebral artery,0,0,0,0,0,0,1
I97131,10,Postprocedural heart failure following other surgery,0,0,0,0,1,0,0
I6350,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,0,0,0,0,0,0,1
I63219,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery,0,0,0,0,0,0,1
I63322,10,Cerebral infarction due to thrombosis of left anterior cerebral artery,0,0,0,0,0,0,1
I6330,10,Cerebral infarction due to thrombosis of unspecified cerebral artery,0,0,0,0,0,0,1
I63039,10,Cerebral infarction due to thrombosis of unspecified carotid artery,0,0,0,0,0,0,1
I63543,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries,0,0,0,0,0,0,1
I219,10,"Acute myocardial infarction, unspecified",0,0,0,0,0,1,0
I63321,10,Cerebral infarction due to thrombosis of right anterior cerebral artery,0,0,0,0,0,0,1
I63331,10,Cerebral infarction due to thrombosis of right posterior cerebral artery,0,0,0,0,0,0,1
I63332,10,Cerebral infarction due to thrombosis of left posterior cerebral artery,0,0,0,0,0,0,1
I221,10,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,0,0,0,0,0,1,0
I501,10,"Left ventricular failure, unspecified",0,0,0,0,1,0,0
I6300,10,Cerebral infarction due to thrombosis of unspecified precerebral artery,0,0,0,0,0,0,1
I63139,10,Cerebral infarction due to embolism of unspecified carotid artery,0,0,0,0,0,0,1
I63119,10,Cerebral infarction due to embolism of unspecified vertebral artery,0,0,0,0,0,0,1
I63549,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery,0,0,0,0,0,0,1
Z4931,10,Encounter for adequacy testing for hemodialysis,1,0,0,0,0,0,0
I63239,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery,0,0,0,0,0,0,1
I63349,10,Cerebral infarction due to thrombosis of unspecified cerebellar artery,0,0,0,0,0,0,1
I63439,10,Cerebral infarction due to embolism of unspecified posterior cerebral artery,0,0,0,0,0,0,1
I5083,10,High output heart failure,0,0,0,0,1,0,0
I63319,10,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,0,0,0,0,0,0,1
I63313,10,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries,0,0,0,0,0,0,1
Z4902,10,Encounter for fitting and adjustment of peritoneal dialysis catheter,0,1,0,0,0,0,0
I63523,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries,0,0,0,0,0,0,1
41032,9,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",0,0,0,0,0,1,0
40210,9,Benign hypertensive heart disease without heart failure,0,0,0,0,1,0,0
41022,9,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",0,0,0,0,0,1,0
436,9,"Acute, but ill-defined, cerebrovascular disease",0,0,0,0,0,0,1
I5040,10,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,0,0,0,0,1,0,0
I229,10,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,0,0,0,0,0,1,0
I6320,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,0,0,0,0,0,0,1
I5089,10,Other heart failure,0,0,0,0,1,0,0
I63533,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries,0,0,0,0,0,0,1
41052,9,"Acute myocardial infarction of other lateral wall, subsequent episode of care",0,0,0,0,0,1,0
I63013,10,Cerebral infarction due to thrombosis of bilateral vertebral arteries,0,0,0,0,0,0,1
I63529,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery,0,0,0,0,0,0,1
43390,9,Occlusion and stenosis of unspecified precerebral artery without mention of cerebral infarction,0,0,0,0,0,0,1
41062,9,"True posterior wall infarction, subsequent episode of care",0,0,0,0,0,1,0
40410,9,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
I63343,10,Cerebral infarction due to thrombosis of bilateral cerebellar arteries,0,0,0,0,0,0,1
V5631,9,Encounter for adequacy testing for hemodialysis,1,0,0,0,0,0,0
T8571XD,10,"Infection and inflammatory reaction due to peritoneal dialysis catheter, subsequent encounter",0,1,0,0,0,0,0
I63342,10,Cerebral infarction due to thrombosis of left cerebellar artery,0,0,0,0,0,0,1
