icd_code,event_norm_code,icd_version,long_title,dx_manual_dialysis,dx_hemodialysis_or_unspecified,dx_peritoneal_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
43400,43400,9,Cerebral thrombosis without mention of cerebral infarction,0,0,0,0,0,0,1
4374,4374,9,Cerebral arteritis,0,0,0,0,0,0,1
43820,43820,9,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",0,0,0,0,0,0,1
41081,41081,9,"Acute myocardial infarction of other specified sites, initial episode of care",0,0,0,0,0,1,0
V568,V568,9,Encounter for other dialysis,1,1,0,0,0,0,0
40411,40411,9,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
43831,43831,9,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting dominant side",0,0,0,0,0,0,1
39891,39891,9,Rheumatic heart failure (congestive),0,0,0,0,1,0,0
43301,43301,9,Occlusion and stenosis of basilar artery with cerebral infarction,0,0,0,0,0,0,1
4375,4375,9,Moyamoya disease,0,0,0,0,0,0,1
41010,41010,9,"Acute myocardial infarction of other anterior wall, episode of care unspecified",0,0,0,0,0,1,0
40403,40403,9,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
99656,99656,9,Mechanical complication due to peritoneal dialysis catheter,0,0,1,0,0,0,0
4371,4371,9,Other generalized ischemic cerebrovascular disease,0,0,0,0,0,0,1
43391,43391,9,Occlusion and stenosis of unspecified precerebral artery with cerebral infarction,0,0,0,0,0,0,1
43380,43380,9,Occlusion and stenosis of other specified precerebral artery without mention of cerebral infarction,0,0,0,0,0,0,1
41042,41042,9,"Acute myocardial infarction of other inferior wall, subsequent episode of care",0,0,0,0,0,1,0
40401,40401,9,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
41040,41040,9,"Acute myocardial infarction of other inferior wall, episode of care unspecified",0,0,0,0,0,1,0
4281,4281,9,Left heart failure,0,0,0,0,1,0,0
43410,43410,9,Cerebral embolism without mention of cerebral infarction,0,0,0,0,0,0,1
40492,40492,9,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
4376,4376,9,Nonpyogenic thrombosis of intracranial venous sinus,0,0,0,0,0,0,1
43821,43821,9,"Late effects of cerebrovascular disease, hemiplegia affecting dominant side",0,0,0,0,0,0,1
43822,43822,9,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side",0,0,0,0,0,0,1
40413,40413,9,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
40400,40400,9,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
40200,40200,9,Malignant hypertensive heart disease without heart failure,0,0,0,0,1,0,0
43819,43819,9,"Late effects of cerebrovascular disease, other speech and language deficits",0,0,0,0,0,0,1
4320,4320,9,Nontraumatic extradural hemorrhage,0,0,0,0,0,0,1
