icd_code,icd_version,long_title
S12091D,10,"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12091G,10,"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12091K,10,"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12091S,10,"Other nondisplaced fracture of first cervical vertebra, sequela"
S121,10,Fracture of second cervical vertebra
S1210,10,Unspecified fracture of second cervical vertebra
S12100,10,Unspecified displaced fracture of second cervical vertebra
S12100A,10,"Unspecified displaced fracture of second cervical vertebra, initial encounter for closed fracture"
S12100B,10,"Unspecified displaced fracture of second cervical vertebra, initial encounter for open fracture"
S12100D,10,"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12100G,10,"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12100K,10,"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12100S,10,"Unspecified displaced fracture of second cervical vertebra, sequela"
S12101,10,Unspecified nondisplaced fracture of second cervical vertebra
S12101A,10,"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture"
S12101B,10,"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for open fracture"
S12101D,10,"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12101G,10,"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12101K,10,"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12101S,10,"Unspecified nondisplaced fracture of second cervical vertebra, sequela"
S1211,10,Type II dens fracture
S12110,10,Anterior displaced Type II dens fracture
S12110A,10,"Anterior displaced Type II dens fracture, initial encounter for closed fracture"
S12110B,10,"Anterior displaced Type II dens fracture, initial encounter for open fracture"
S12110D,10,"Anterior displaced Type II dens fracture, subsequent encounter for fracture with routine healing"
S12110G,10,"Anterior displaced Type II dens fracture, subsequent encounter for fracture with delayed healing"
S12110K,10,"Anterior displaced Type II dens fracture, subsequent encounter for fracture with nonunion"
S12110S,10,"Anterior displaced Type II dens fracture, sequela"
S12111,10,Posterior displaced Type II dens fracture
S12111A,10,"Posterior displaced Type II dens fracture, initial encounter for closed fracture"
S12111B,10,"Posterior displaced Type II dens fracture, initial encounter for open fracture"
S12111D,10,"Posterior displaced Type II dens fracture, subsequent encounter for fracture with routine healing"
S12111G,10,"Posterior displaced Type II dens fracture, subsequent encounter for fracture with delayed healing"
S12111K,10,"Posterior displaced Type II dens fracture, subsequent encounter for fracture with nonunion"
S12111S,10,"Posterior displaced Type II dens fracture, sequela"
S12112,10,Nondisplaced Type II dens fracture
S12112A,10,"Nondisplaced Type II dens fracture, initial encounter for closed fracture"
S12112B,10,"Nondisplaced Type II dens fracture, initial encounter for open fracture"
S12112D,10,"Nondisplaced Type II dens fracture, subsequent encounter for fracture with routine healing"
S12112G,10,"Nondisplaced Type II dens fracture, subsequent encounter for fracture with delayed healing"
S12112K,10,"Nondisplaced Type II dens fracture, subsequent encounter for fracture with nonunion"
S12112S,10,"Nondisplaced Type II dens fracture, sequela"
S1212,10,Other dens fracture
S12120,10,Other displaced dens fracture
S12120A,10,"Other displaced dens fracture, initial encounter for closed fracture"
S12120B,10,"Other displaced dens fracture, initial encounter for open fracture"
S12120D,10,"Other displaced dens fracture, subsequent encounter for fracture with routine healing"
S12120G,10,"Other displaced dens fracture, subsequent encounter for fracture with delayed healing"
S12120K,10,"Other displaced dens fracture, subsequent encounter for fracture with nonunion"
S12120S,10,"Other displaced dens fracture, sequela"
S12121,10,Other nondisplaced dens fracture
S12121A,10,"Other nondisplaced dens fracture, initial encounter for closed fracture"
S12121B,10,"Other nondisplaced dens fracture, initial encounter for open fracture"
S12121D,10,"Other nondisplaced dens fracture, subsequent encounter for fracture with routine healing"
S12121G,10,"Other nondisplaced dens fracture, subsequent encounter for fracture with delayed healing"
S12121K,10,"Other nondisplaced dens fracture, subsequent encounter for fracture with nonunion"
S12121S,10,"Other nondisplaced dens fracture, sequela"
S1213,10,Unspecified traumatic spondylolisthesis of second cervical vertebra
S12130,10,Unspecified traumatic displaced spondylolisthesis of second cervical vertebra
S12130A,10,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture"
S12130B,10,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture"
S12130D,10,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12130G,10,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12130K,10,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12130S,10,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, sequela"
S12131,10,Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra
S12131A,10,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture"
S12131B,10,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture"
S12131D,10,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12131G,10,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12131K,10,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12131S,10,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela"
S1214,10,Type III traumatic spondylolisthesis of second cervical vertebra
S1214XA,10,"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for closed fracture"
S1214XB,10,"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for open fracture"
S1214XD,10,"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S1214XG,10,"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S1214XK,10,"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S1214XS,10,"Type III traumatic spondylolisthesis of second cervical vertebra, sequela"
S1215,10,Other traumatic spondylolisthesis of second cervical vertebra
S12150,10,Other traumatic displaced spondylolisthesis of second cervical vertebra
S12150A,10,"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture"
S12150B,10,"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture"
S12150D,10,"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12150G,10,"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12150K,10,"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12150S,10,"Other traumatic displaced spondylolisthesis of second cervical vertebra, sequela"
S12151,10,Other traumatic nondisplaced spondylolisthesis of second cervical vertebra
S12151A,10,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture"
S12151B,10,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture"
S12151D,10,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12151G,10,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12151K,10,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12151S,10,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela"
S1219,10,Other fracture of second cervical vertebra
S12190,10,Other displaced fracture of second cervical vertebra
S12190A,10,"Other displaced fracture of second cervical vertebra, initial encounter for closed fracture"
S12190B,10,"Other displaced fracture of second cervical vertebra, initial encounter for open fracture"
S12190D,10,"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12190G,10,"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12190K,10,"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12190S,10,"Other displaced fracture of second cervical vertebra, sequela"
S12191,10,Other nondisplaced fracture of second cervical vertebra
S12191A,10,"Other nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture"
S12191B,10,"Other nondisplaced fracture of second cervical vertebra, initial encounter for open fracture"
S12191D,10,"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing"
S12191G,10,"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing"
S12191K,10,"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion"
S12191S,10,"Other nondisplaced fracture of second cervical vertebra, sequela"
S122,10,Fracture of third cervical vertebra
S1220,10,Unspecified fracture of third cervical vertebra
S12200,10,Unspecified displaced fracture of third cervical vertebra
S12200A,10,"Unspecified displaced fracture of third cervical vertebra, initial encounter for closed fracture"
S12200B,10,"Unspecified displaced fracture of third cervical vertebra, initial encounter for open fracture"
S12200D,10,"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12200G,10,"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12200K,10,"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12200S,10,"Unspecified displaced fracture of third cervical vertebra, sequela"
S12201,10,Unspecified nondisplaced fracture of third cervical vertebra
S12201A,10,"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture"
S12201B,10,"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for open fracture"
S12201D,10,"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12201G,10,"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12201K,10,"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12201S,10,"Unspecified nondisplaced fracture of third cervical vertebra, sequela"
S1223,10,Unspecified traumatic spondylolisthesis of third cervical vertebra
S12230,10,Unspecified traumatic displaced spondylolisthesis of third cervical vertebra
S12230A,10,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture"
S12230B,10,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture"
S12230D,10,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12230G,10,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12230K,10,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12230S,10,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, sequela"
S12231,10,Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra
S12231A,10,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture"
S12231B,10,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture"
S12231D,10,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12231G,10,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12231K,10,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12231S,10,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela"
S1224,10,Type III traumatic spondylolisthesis of third cervical vertebra
S1224XA,10,"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for closed fracture"
S1224XB,10,"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for open fracture"
S1224XD,10,"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S1224XG,10,"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S1224XK,10,"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S1224XS,10,"Type III traumatic spondylolisthesis of third cervical vertebra, sequela"
S1225,10,Other traumatic spondylolisthesis of third cervical vertebra
S12250,10,Other traumatic displaced spondylolisthesis of third cervical vertebra
S12250A,10,"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture"
S12250B,10,"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture"
S12250D,10,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12250G,10,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12250K,10,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12250S,10,"Other traumatic displaced spondylolisthesis of third cervical vertebra, sequela"
S12251,10,Other traumatic nondisplaced spondylolisthesis of third cervical vertebra
S12251A,10,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture"
S12251B,10,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture"
S12251D,10,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12251G,10,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12251K,10,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12251S,10,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela"
S1229,10,Other fracture of third cervical vertebra
S12290,10,Other displaced fracture of third cervical vertebra
S12290A,10,"Other displaced fracture of third cervical vertebra, initial encounter for closed fracture"
S12290B,10,"Other displaced fracture of third cervical vertebra, initial encounter for open fracture"
S12290D,10,"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12290G,10,"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12290K,10,"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12290S,10,"Other displaced fracture of third cervical vertebra, sequela"
S12291,10,Other nondisplaced fracture of third cervical vertebra
S12291A,10,"Other nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture"
S12291B,10,"Other nondisplaced fracture of third cervical vertebra, initial encounter for open fracture"
S12291D,10,"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing"
S12291G,10,"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing"
S12291K,10,"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion"
S12291S,10,"Other nondisplaced fracture of third cervical vertebra, sequela"
S123,10,Fracture of fourth cervical vertebra
S1230,10,Unspecified fracture of fourth cervical vertebra
S12300,10,Unspecified displaced fracture of fourth cervical vertebra
S12300A,10,"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for closed fracture"
S12300B,10,"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for open fracture"
S12300D,10,"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12300G,10,"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12300K,10,"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12300S,10,"Unspecified displaced fracture of fourth cervical vertebra, sequela"
S12301,10,Unspecified nondisplaced fracture of fourth cervical vertebra
S12301A,10,"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture"
S12301B,10,"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture"
S12301D,10,"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12301G,10,"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12301K,10,"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12301S,10,"Unspecified nondisplaced fracture of fourth cervical vertebra, sequela"
S1233,10,Unspecified traumatic spondylolisthesis of fourth cervical vertebra
S12330,10,Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra
S12330A,10,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture"
S12330B,10,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture"
S12330D,10,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12330G,10,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12330K,10,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12330S,10,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela"
S12331,10,Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra
S12331A,10,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture"
S12331B,10,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture"
S12331D,10,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12331G,10,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12331K,10,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12331S,10,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela"
S1234,10,Type III traumatic spondylolisthesis of fourth cervical vertebra
S1234XA,10,"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture"
S1234XB,10,"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture"
S1234XD,10,"Type III traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S1234XG,10,"Type III traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S1234XK,10,"Type III traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S1234XS,10,"Type III traumatic spondylolisthesis of fourth cervical vertebra, sequela"
S1235,10,Other traumatic spondylolisthesis of fourth cervical vertebra
S12350,10,Other traumatic displaced spondylolisthesis of fourth cervical vertebra
S12350A,10,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture"
S12350B,10,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture"
S12350D,10,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
S12350G,10,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12350K,10,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion"
S12350S,10,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela"
S12351,10,Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra
S12351A,10,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture"
