pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
53,285,183,0.6330254630796068,0.6361047524862535,0.013279026870722244
54,222,172,0.6338866952588172,0.6389174985959918,0.021741504821043423
55,173,183,0.6375330987271403,0.6361047524862535,0.006175821683535587
56,195,83,0.6421291019365429,0.6465873447693818,0.019454848554257942
57,185,83,0.6435470524171938,0.6465873447693818,0.013279026870722466
58,122,72,0.6443974631121191,0.6493637284935843,0.021741504821043978
59,134,72,0.6503599863253757,0.6493637284935843,0.004378360303501028
60,95,83,0.6525329485133485,0.6465873447693818,0.02611986512454567
61,280,72,0.6532201892448687,0.6493637284935843,0.016980659860998837
62,292,72,0.6591130357014006,0.6493637284935843,0.043100524985544064
63,34,254,0.6606510043431515,0.6702458438060875,0.04310052498554473
64,119,97,0.6609377796838999,0.6598189438426764,0.004988597650475657
65,242,254,0.6644474719495379,0.6702458438060875,0.026119865124546116
66,7,97,0.6667654119567228,0.6598189438426764,0.031104091391162325
67,192,254,0.6692774342780025,0.6702458438060875,0.004378360303501916
68,217,127,0.6776226714506832,0.6861684567661646,0.03939889199526825
69,115,127,0.6805166090199224,0.6861684567661646,0.026119865124544894
70,104,54,0.6849497653316687,0.6882931784891202,0.015538408253654157
71,117,127,0.6874968347556393,0.6861684567661646,0.006175821683535365
72,4,54,0.6929385244077279,0.6882931784891202,0.021741504821043534
73,66,54,0.6938693410223654,0.6882931784891202,0.026119865124545116
74,17,27,0.6972037048424913,0.6958983371595482,0.006175821683535254
75,274,224,0.6974643611349047,0.7020321983597672,0.021741504821043867
76,247,237,0.7049416800710929,0.7062246163671605,0.006175821683535365
77,174,124,0.7069935760158689,0.7114770544641903,0.021741504821043756
78,147,237,0.7143318398915978,0.7062246163671605,0.03939889199526769
79,149,59,0.7208762884380451,0.7270916550424954,0.03110409139116288
80,233,59,0.7242793077728453,0.7270916550424954,0.014127802914022713
81,36,294,0.7259684139422985,0.7250202814434571,0.004760844960044364
82,244,294,0.72933352404066,0.7250202814434571,0.021741504821043645
83,145,167,0.738364117693785,0.7393266811128951,0.004988597650475768
84,206,32,0.7390808756636658,0.743250836556392,0.021737133437183864
85,179,167,0.7443290181686054,0.7393266811128951,0.02611986512454534
86,169,167,0.7455025231363207,0.7393266811128951,0.03229568680808148
87,44,156,0.7482035157849076,0.7432516707424489,0.026115493740686002
88,56,156,0.7503010027062278,0.7432516707424489,0.037279913074697246
89,118,156,0.7511203866389395,0.7432516707424489,0.041658273378199384
90,252,156,0.751389084816914,0.7432516707424489,0.04309615360168584
91,79,81,0.752905057500591,0.7588641257345619,0.032295686808080815
92,69,81,0.7540522060143408,0.7588641257345619,0.026119865124546227
93,265,81,0.7551292767588836,0.7588641257345619,0.0203036245975583
94,287,81,0.756050539186327,0.7588641257345619,0.01531502694708231
95,276,156,0.75828845462565,0.7432516707424489,0.0803804380602422
96,18,156,0.7595422143037736,0.7432516707424489,0.087232987057003
97,152,156,0.7598047276277855,0.7432516707424489,0.08867086728048945
98,214,156,0.7606028757825488,0.7432516707424489,0.09304922758399004
99,299,289,0.7608357623856227,0.7619577330360601,0.006175821683535254
100,226,156,0.7626298433418289,0.7432516707424489,0.10421364691800195
101,30,156,0.7642803001811865,0.7432516707424489,0.11335285218154878
102,177,289,0.7666620624588826,0.7619577330360601,0.026115493740687334
103,238,156,0.7673257266337739,0.7432516707424489,0.13033351204254795
104,199,289,0.7690299252220868,0.7619577330360601,0.039398891995269025
105,77,89,0.7747157139145723,0.7792417135200778,0.026119865124545782
106,201,89,0.7747164768568612,0.7792417135200778,0.02611549374068689
107,138,156,0.7753631834459594,0.7432516707424489,0.17590822572135134
108,111,89,0.7800986768205819,0.7792417135200778,0.004988597650475768
109,11,197,0.787816916395976,0.7898146075671294,0.011992062210523624
110,219,197,0.7906415548685789,0.7898146075671294,0.004988597650476434
111,209,197,0.7941178808173383,0.7898146075671294,0.026119865124545116
112,231,197,0.7949322933307255,0.7898146075671294,0.03110846277502155
113,107,197,0.7962804530444674,0.7898146075671294,0.03939889199526858
114,96,16,0.7982477947353037,0.8244668030475283,0.1715298654178501
115,46,16,0.8020588214422696,0.8244668030475283,0.14769665656008968
116,131,43,0.802261863945529,0.8133894254965567,0.07169457880334873
117,9,43,0.8073345338398892,0.8133894254965567,0.03940326337912703
118,204,16,0.8081345473512612,0.8244668030475283,0.10897449187804686
119,266,16,0.8088125099537135,0.8244668030475283,0.10459613157454539
120,31,43,0.8093922755760139,0.8133894254965567,0.026119865124545782
121,21,43,0.8113647788389324,0.8133894254965567,0.013283398254581691
122,229,43,0.8139499718614616,0.8133894254965567,0.003697261606417923
123,139,251,0.8198427082737622,0.8159531653730163,0.026115493740686446
124,129,251,0.8207530799580748,0.8159531653730163,0.03229131542422281
125,141,51,0.8245636267086472,0.8301903304371385,0.03939889199526858
126,163,51,0.8252841014961261,0.8301903304371385,0.03441029434479348
127,39,51,0.826476278759307,0.8301903304371385,0.02611986512454556
128,28,16,0.8282149251827463,0.8244668030475283,0.026119865124545116
129,236,16,0.8306174004765258,0.8244668030475283,0.04310052498554495
130,41,51,0.8310591883244213,0.8301903304371385,0.006175821683535698
131,259,51,0.8325707639194908,0.8301903304371385,0.016980659860999392
132,249,51,0.8334298857226371,0.8301903304371385,0.023156481544534202
133,75,51,0.8353819431660521,0.8301903304371385,0.03728428445855636
134,136,16,0.836933146722675,0.8244668030475283,0.08867523866434879
135,261,51,0.8370244532658604,0.8301903304371385,0.04927634666908043
136,198,16,0.8375298069076366,0.8244668030475283,0.0930535989678496
137,159,51,0.8388278081589874,0.8301903304371385,0.0625553735398019
138,148,16,0.8404665854234746,0.8244668030475283,0.11479510378889479
139,210,16,0.8410527721808365,0.8244668030475283,0.11917346409239493
140,161,281,0.8431464142077018,0.8534860144597571,0.08038043806024198
141,98,16,0.8436363310916308,0.8244668030475283,0.13862831264665365
142,48,16,0.8464829617278786,0.8244668030475283,0.16036981746769818
143,61,281,0.8480138722636902,0.8534860144597571,0.04310052498554362
144,256,16,0.8486766317696943,0.8244668030475283,0.17735047732869602
145,73,281,0.8513498522330242,0.8534860144597571,0.016980659860998948
146,191,181,0.8583444609963707,0.8590937139743369,0.006175821683535698
147,68,262,0.8621464979873679,0.8757088777010346,0.11917346409239515
148,193,181,0.8622260107765057,0.8590937139743369,0.02611986512454556
149,264,262,0.8628363027718843,0.8757088777010346,0.11335722356540723
150,91,181,0.8637958829799883,0.8590937139743369,0.03939889199526725
151,80,262,0.8652215790215952,0.8757088777010346,0.09305359896784937
152,103,189,0.8668398540773846,0.8724251614059443,0.049271975285220426
153,288,262,0.8671894963502118,0.8757088777010346,0.07607293910685042
154,93,189,0.8675511064136197,0.8724251614059443,0.04309615360168517
155,105,189,0.8705237330811507,0.8724251614059443,0.016976288477139834
156,42,262,0.8709412284860482,0.8757088777010346,0.04310052498554384
157,188,262,0.8723511501470107,0.8757088777010346,0.03049822542804681
158,250,262,0.8728379064688006,0.8757088777010346,0.026119865124544006
159,211,189,0.8738962975311592,0.8724251614059443,0.01328339825458058
160,200,262,0.875231540081982,0.8757088777010346,0.00437836030350125
161,213,189,0.8774125671445145,0.8724251614059443,0.045579085062662505
162,100,262,0.8801238472111648,0.8757088777010346,0.041196353375302586
163,101,189,0.8801939707603496,0.8724251614059443,0.07169457880334984
164,113,35,0.8813662988944455,0.8880475905348417,0.06551875711981348
165,125,35,0.8840702964692317,0.8880475905348417,0.03939889199526725
166,196,262,0.8845967767493266,0.8757088777010346,0.08429250697698731
167,23,35,0.8854243384123861,0.8880475905348417,0.026119865124544894
